time,time,flux,flux_err
2036.280140803426,2036.280140803426,1432911.7249291511,124.42420901521737
2036.2829185711992,2036.2829185711992,1433270.3074084895,124.44716813270601
2036.2843074551447,2036.2843074551447,1433694.4379970378,124.45517594826059
2036.2856963390893,2036.2856963390893,1434007.20063646,124.47962778854618
2036.2870852230342,2036.2870852230342,1433210.8030087904,124.43394488894499
2036.2884741069797,2036.2884741069797,1433055.2728842758,124.43594219893825
2036.2898629909243,2036.2898629909243,1434027.9971823476,124.47747035106393
2036.2912518748692,2036.2912518748692,1434102.3289936432,124.48249908370654
2036.2926407588147,2036.2926407588147,1433671.4434249487,124.45457567421938
2036.294029642643,2036.294029642643,1433372.7962559506,124.44477078834008
2036.2954185265878,2036.2954185265878,1432965.8843381517,124.43435691033044
2036.2968074105331,2036.2968074105331,1433872.0110300665,124.46556062321015
2036.298196294478,2036.298196294478,1433161.347286427,124.437272413152
2036.2995851784228,2036.2995851784228,1434102.3013853284,124.47644653583062
2036.3009740622517,2036.3009740622517,1433169.6436932972,124.44294626454325
2036.3023629461966,2036.3023629461966,1433433.0666118974,124.45295531218815
2036.3037518301414,2036.3037518301414,1434140.636771288,124.47370062964104
2036.3051407140867,2036.3051407140867,1433724.665482668,124.46262224434089
2036.3065295979152,2036.3065295979152,1433569.9767791238,124.45782418152746
2036.3079184818594,2036.3079184818594,1433494.726916613,124.45258258670248
2036.309307365804,2036.309307365804,1433464.554242887,124.45619993847232
2036.3106962497488,2036.3106962497488,1433393.7279883071,124.44039188628626
2036.3120851335773,2036.3120851335773,1433761.7378273136,124.46093921638628
2036.3134740175226,2036.3134740175226,1433662.1854278129,124.45488169664138
2036.3148629014674,2036.3148629014674,1433332.469361165,124.44806663449015
2036.316251785296,2036.316251785296,1434113.2301414574,124.48048290796433
2036.3176406692412,2036.3176406692412,1433711.269294568,124.46227308656627
2036.3190295530696,2036.3190295530696,1433675.566075476,124.45229225239285
2036.3204184370145,2036.3204184370145,1433317.5306151994,124.45211962086061
2036.3218073209598,2036.3218073209598,1432944.792367187,124.42710905887833
2036.3231962047882,2036.3231962047882,1433554.475204041,124.45302593373333
2036.324585088733,2036.324585088733,1433978.2477313867,124.47611310759586
2036.325973972562,2036.325973972562,1432664.08382357,124.41269058309526
2036.3273628565069,2036.3273628565069,1433623.5796717927,124.4608293676167
2036.3287517403353,2036.3287517403353,1433493.2539976104,124.44653250743872
2036.3301406242806,2036.3301406242806,1433538.111406669,124.44982830693259
2036.3315295081097,2036.3315295081097,1432512.9882425405,124.40815748349262
2036.3329183920544,2036.3329183920544,1432713.35637632,124.41425259993326
2036.3343072758828,2036.3343072758828,1433838.846381609,124.46678852333461
2036.3356961598283,2036.3356961598283,1433545.6005970142,124.45594099921466
2036.3370850436565,2036.3370850436565,1434307.653154942,124.48646465705619
2036.3384739276014,2036.3384739276014,1434088.7888870335,124.47420666547748
2036.3398628114305,2036.3398628114305,1433947.7004769542,124.47506574486113
2036.3412516952587,2036.3412516952587,1433596.1401088657,124.45762017148648
2036.3426405792036,2036.3426405792036,1433406.3551253635,124.45086018811803
2036.344029463032,2036.344029463032,1433865.3198154715,124.46250847393765
2036.3454183468596,2036.3454183468596,1433911.9923134828,124.46842831994586
2036.3468072308044,2036.3468072308044,1433960.7127254775,124.47345741788689
2036.3481961146333,2036.3481961146333,1433458.4108285708,124.4442057773784
2036.3495849984618,2036.3495849984618,1433908.0700715864,124.46953458201128
2036.3509738824066,2036.3509738824066,1432785.3596927437,124.42546086914848
2036.3523627662355,2036.3523627662355,1434364.1597151675,124.48748054523395
2036.353751650064,2036.353751650064,1434252.5910611532,124.47862360411526
2036.3551405340088,2036.3551405340088,1433877.0157489036,124.47309259936462
2036.3565294178377,2036.3565294178377,1433441.9758339634,124.44711320225552
