1841.562930   	    2.059289  			    0
1959.121823   	    1.438774  			    0
2076.813529   	    1.064245  			    0
2194.163732   	    0.868887  			    0
2313.670687   	    0.258407  			    0
2433.466290   	    0.531725  			    0
2552.725249   	    0.366295  			    0
2672.489512   	    0.736495  			    0
2792.080085   	    1.038182  			    0
2912.268249   	    1.225571  			    0
3031.883558   	    1.458843  			    0
3151.595676   	    2.754809  			    0
1894.979959   	    4.189535  			    1
2013.515896   	    2.417931  			    1
2131.548339   	    0.768361  			    1
2249.374631   	    0.381804  			    1
2368.293774   	    0.512968  			    1
2489.269060   	    0.628184  			    1
2609.007252   	    0.423139  			    1
2728.175966   	    0.642135  			    1
2848.442640   	    0.734501  			    1
2969.201282   	    1.102135  			    1
3090.516395   	    1.713049  			    1
3212.290771   	    3.040224  			    1
1827.521786   	    4.740940  			    2
1946.844732   	    2.920932  			    2
2066.273970   	    1.704094  			    2
2185.732953   	    0.908230  			    2
2305.714232   	    0.706892  			    2
2425.673643   	    0.871184  			    2
2545.440825   	    0.845848  			    2
2665.795380   	    1.000429  			    2
2785.083828   	    1.915832  			    2
2905.236201   	    2.457826  			    2
3025.268309   	    2.845184  			    2
3145.203963   	    4.234938  			    2			
